prediction;gold;sentence 
positive;positive;i always appreciate such glimpse at the old movie sets.the end of the film is it's strongest part.
negative;negative;since there's no real plot and the script is so crappy, you cant expect any real character development, or tension, so instead of creating them through the story, they simply add some disconnected dramatic music, which signal you that something very dramatic is going on , instead of actually creating something dramatic..the bottom line is that this is a very bad movie, and a complete waste of time which somehow got an incredibly high score for it level, probably because of the cast - and this is exactly what the producer where counting on.
positive;positive;the event of the film are based on a true story.timothy hutton and sean penn are convincing in the lead part and develop interesting characterizations.
positive;negative;time to smash!anyhow this movie is one step up on most other giant bug movies, because it ha pretty decent fx for 1957.
positive;negative;along the way the good doctor managed to attract a wifey to share in all the hell the little one wa dishing out.
negative;positive;united artist spared no expense in this handsome production supervised by william cameron menzies.
negative;negative;there might be some laugh in it that escaped me.
negative;negative;it's just that the movie brought absolutely nothing new to the romantic comedy genre.
negative;positive;thing wa fine for a while.
negative;negative;after watching it i walk out like, what happened?
negative;positive;when one of the character dy the others have to cope and adjust.
positive;positive;seven month since a revelatory viewing of faces, i finally found a rentable dvd copy of cassavetes' first feature.
negative;positive;i watched it because my friend said we could try it, when my father asked if we'd watch it.
